,,,,,,,,,,,,,,,,,
,#,अध्याय,नाम,श्लोक,खोज-शब्द,,,,,,,Ref,Link,श्रेणी,विषय,वक्ता,सारांश 
,12,1,अर्जुन विषाद योग,12,यशस्वी,दौड़,बड़ा,जयकार,गर्जन,बहुत,,1.12,012 1.12.mp4,1,रणनीति,वर्णन,अपनी टीम को प्रोत्साहित करें और आगे से नेतृत्व करें
,13,1,अर्जुन विषाद योग,13,शंख,ढोल ,तुरहियां,नगाड़े ,शोर,भयंकर ,,1.13,013 1.13.mp4,1,रणनीति,वर्णन,सभी संभव तरीकों से टीम की ऊर्जा को बढ़ाना
,14,1,अर्जुन विषाद योग,14,यशस्वी,रथ,दिव्य ,शंख,धवल ,घोड़ों,,1.14,014 1.14.mp4,1,रणनीति,वर्णन,अपनी टीम को प्रोत्साहित करें और आगे से नेतृत्व करें
,15,1,अर्जुन विषाद योग,15,देवदत्त,अद्भुत ,वीर,पांचजन्य,पौंड्र,शक्तिशाली ,,1.15,015 1.15.mp4,1,रणनीति,वर्णन,अपनी टीम को प्रोत्साहित करें और आगे से नेतृत्व करें
,16,1,अर्जुन विषाद योग,16,शंख,सुघोष,अनंतविजय,मणिपुष्पक,,,,1.16,016 1.16.mp4,1,रणनीति,वर्णन,अपनी टीम को प्रोत्साहित करें और आगे से नेतृत्व करें
,17,1,अर्जुन विषाद योग,17,उत्कृष्ट,योद्धा,अजेय,धनुर्धर ,रथ,,,1.17,017 1.17.mp4,1,रणनीति,वर्णन,प्रतिद्वन्द्वी की शक्ति पहचानें
,18,1,अर्जुन विषाद योग,18,शक्तिशाली ,धरती,शंख,पक्ष,,,,1.18,018 1.18.mp4,1,रणनीति,वर्णन,प्रतिद्वन्द्वी की शक्ति पहचानें
,19,1,अर्जुन विषाद योग,19,भयानक,ध्वनि ,गूंज,स्वर्ग,किराया,मन ,,1.19,019 1.19.mp4,1,रणनीति,वर्णन,प्रतिद्वन्द्वी की शक्ति पहचानें
,20,1,अर्जुन विषाद योग,20,धरती,प्रक्षेपास्त्र ,हनुमान,ध्वज ,रथ,धनुष ,,1.20,020 1.20.mp4,1,रणनीति,संजय,वह क्षण जब कोई व्यक्ति कार्य के लिए पूरी तरह से दृढ़ संकल्पित होता है
,21,1,अर्जुन विषाद योग,21,पता,शब्द,स्थान ,रथ,सेना,,,1.21,021 1.21.mp4,1,रणनीति,अर्जुन,प्रतिद्वन्द्वी का मूल्यांकन करने के बजाय उसका अवलोकन करने की इच्छा
,22,1,अर्जुन विषाद योग,22,सावधानी,निरीक्षण,योद्धा,युद्ध,कार्यरत ,युद्ध,,1.22,022 1.22.mp4,2,रणनीति,अर्जुन,प्रतिद्वन्द्वी का मूल्यांकन करने के बजाय उसका अवलोकन करने की इच्छा
,23,1,अर्जुन विषाद योग,23,बुराई,इकट्ठा,सहायता,शुभचिंतक,युद्ध,,,1.23,023 1.23.mp4,4,रणनीति,अर्जुन,प्रतिद्वन्द्वी के मन्तव्य और चरित्र को जानना
,24,1,अर्जुन विषाद योग,24,संबोधित,स्थान ,रथ,अनुपम ,सेनाओं,,,1.24,024 1.24.mp4,1,रणनीति,संजय,प्रतिद्वन्द्वी का मूल्यांकन करने के बजाय उसका अवलोकन करने की इच्छा
,25,1,अर्जुन विषाद योग,25,सामने,राजा ,देखो,एकत्र ,युद्ध,,,1.25,025 1.25.mp4,1,रणनीति,कृष्ण,प्रतिद्वन्द्वी का मूल्यांकन करने के बजाय उसका अवलोकन करने की इच्छा
,26,1,अर्जुन विषाद योग,26,तत्पर ,सेना,मामा,शिक्षक,चचेरे भाई,भतीजे,मित्र ,1.26,026 1.26.mp4,3,रणनीति,वर्णन,विरोधियों को व्यक्तिगत व्यक्तित्व के रूप में देखना
,27,1,अर्जुन विषाद योग,27,पिता,शुभचिंतक,सम्बन्ध,उपस्थित,,,,1.27,027 1.27.mp4,1,रणनीति,वर्णन,विरोधियों को व्यक्तिगत व्यक्तित्व के रूप में देखना
,28,1,अर्जुन विषाद योग,28,विजय ,बोला,शब्द,करुणा,उदासी,युद्ध,सम्बन्धी ,1.28,028 1.28.mp4,3,माया,अर्जुन,भावनाओं का अचानक उतार-चढ़ाव और दुर्बलता के आगे समर्पण
,29,1,अर्जुन विषाद योग,29,अंग,मार्ग ,मुँह,सूखना,कंपकंपी,शरीर,प्रकार ,1.29,029 1.29.mp4,4,माया,अर्जुन,अंतिम क्षण में घबराहट और उलझन होना
,30,1,अर्जुन विषाद योग,30,झुकना,फिसलना,त्वचा,जलाना,मस्तिष्क,घुमावदार,खड़ा,1.30,030 1.30.mp4,4,माया,अर्जुन,अंतिम क्षण में घबराहट और उलझन होना
,31,1,अर्जुन विषाद योग,31,शकुन ,बुराई,अच्छा,हत्या,सम्बन्धी ,युद्ध,,1.31,031 1.31.mp4,2,माया,अर्जुन,"अंधविश्वासी हो जाना, विचलित हो जाना और उद्देश्य खो देना"
,32,1,अर्जुन विषाद योग,32,लालच,विजय,आनंद,विलासिता,लाभ ,जीवन ,साम्राज्य,1.32,032 1.32.mp4,4,माया,अर्जुन,"अंधविश्वासी हो जाना, विचलित हो जाना और उद्देश्य खो देना"
,33,1,अर्जुन विषाद योग,33,व्यक्ति,लालच,साम्राज्य,विलासिता,आनंद,युद्ध,जताया,1.33,033 1.33.mp4,3,माया,अर्जुन,विरोधियों को व्यक्तिगत व्यक्तित्व और सम्बन्धी के रूप में देखना
,34,1,अर्जुन विषाद योग,34,शिक्षक,मामा,भतीजे,पिता,भाई-बंधु,सम्बन्ध,,1.34,034 1.34.mp4,1,माया,अर्जुन,विरोधियों को व्यक्तिगत व्यक्तित्व और सम्बन्धी के रूप में देखना
,35,1,अर्जुन विषाद योग,35,मारना,टूटना,संसार,संप्रभुता,सांसारिक,साम्राज्य,,1.35,035 1.35.mp4,2,माया,अर्जुन,धर्म के उद्देश्य को खोकर भौतिक उपलब्धियों तक ही सीमित दृष्टिकोण अपनाना
,36,1,अर्जुन विषाद योग,36,प्रसन्न ,पाप,मारना,लालायित ,बुराई,आशा,अर्जित,1.36,036 1.36.mp4,3,माया,अर्जुन,पापियों के प्रति जानबूझकर दया या सहानुभूति दिभोजन
,37,1,अर्जुन विषाद योग,37,योग्य,मारना,सम्बन्ध,प्रसन्न ,सम्बन्धी ,,,1.37,037 1.37.mp4,1,माया,अर्जुन,विरोधियों को व्यक्तिगत व्यक्तित्व और सम्बन्धी के रूप में देखना
,38,1,अर्जुन विषाद योग,38,लालच,बुराई,दौड़,राज-द्रोह,मित्र ,मस्तिष्क ,अंधा,1.38,038 1.38.mp4,3,माया,अर्जुन,पापियों के प्रति जानबूझकर दया या सहानुभूति दिभोजन
,39,1,अर्जुन विषाद योग,39,एकत्रित,पाप,परिवार,विनाश,अपराध,विरत,,1.39,039 1.39.mp4,3,माया,अर्जुन,बिना कुछ अनुचित किए भी आत्मग्लानि में डूबे रहना
,40,1,अर्जुन विषाद योग,40,परिवार,परम्परा,गुण,विनाश,कलुष ,,,1.40,040 1.40.mp4,5,समाज,अर्जुन,परिवार और परम्पराओं पर युद्ध के दुष्प्रभाव
,41,1,अर्जुन विषाद योग,41,कलुष ,नारी ,भ्रष्ट,मिश्रित,जाति,परिवार,,1.41,041 1.41.mp4,5,समाज,अर्जुन,परिवार और परम्पराओं पर युद्ध के दुष्प्रभाव
,42,1,अर्जुन विषाद योग,42,संतान,नाशक ,वंचित,संकीर्णता,दौड़,प्रसाद,पितर,1.42,042 1.42.mp4,3,समाज,अर्जुन,परिवार और परम्पराओं पर युद्ध के दुष्प्रभाव
,43,1,अर्जुन विषाद योग,43,बुराइयों,मिश्रित,जाति,परम्पराएँ,परिवार,प्रथाएँ,विलुप्त,1.43,043 1.43.mp4,5,समाज,अर्जुन,परिवार और परम्पराओं पर युद्ध के दुष्प्रभाव
,44,1,अर्जुन विषाद योग,44,परिवार,परम्पराएँ,बसना,अनिश्चितकालीन,नरक,खो गया,,1.44,044 1.44.mp4,2,समाज,अर्जुन,परिवार और परम्पराओं पर युद्ध के दुष्प्रभाव
,45,1,अर्जुन विषाद योग,45,दया,मस्तिष्क ,पाप,सिंहासन,वासना,आनंद,हत्या,1.45,045 1.45.mp4,3,माया,अर्जुन,बिना कुछ अनुचित किए भी आत्मग्लानि में डूबे रहना
,46,1,अर्जुन विषाद योग,46,उत्कृष्ट ,हथियार,तत्पर ,अप्रतिरोध,मारना,युद्ध,,1.46,046 1.46.mp4,4,माया,अर्जुन,"अनुचित काम करने के संदेह में, बुराई के आगे समर्पण "
,47,1,अर्जुन विषाद योग,47,उत्तेजित,दु:ख,युद्ध,बाधा,रथ,डूबा ,,1.47,047 1.47.mp4,1,माया,संजय,"अनुचित काम करने के संदेह में, बुराई के आगे समर्पण "
,48,2,सांख्य योग,1,अभिभूत ,दया,आँसू,उत्तेजित,दु:ख,सम्बोधन ,,2.1,048 2.1.mp4,3,समानुभूति,संजय,किसी गहरे संकट में फंसे व्यक्ति को सांत्वना देना और उसका मार्गदर्शन 
,49,2,सांख्य योग,2,गंभीर,आसक्ति,महान,स्वर्ग,यश,,,2.2,049 2.2.mp4,5,व्यक्तित्व,कृष्ण,प्रशंसनीय आचरण और प्रतिष्ठा का महत्व
,50,2,सांख्य योग,3,शत्रु ,उपज,अचेत ,अपुरुषत्व,हिलना,,,2.3,050 2.3.mp4,2,व्यक्तित्व,कृष्ण,"अपने व्यक्तित्व के अनुकूल क्या है, इस पर चिंतन करने की सलाह"
,51,2,सांख्य योग,4,विवाद ,तीर,युद्ध,योग्य,गहन,श्रद्धा,,2.4,051 2.4.mp4,1,माया,अर्जुन,विरोधियों को व्यक्तिगत व्यक्तित्व और सम्बन्धी के रूप में देखना
,52,2,सांख्य योग,5,श्रेष्ठ ,भिक्षा,महान,आनंद,रक्त ,सम्पत्ति,आनंद,2.5,052 2.5.mp4,3,माया,अर्जुन,युद्ध के पीछे के वास्तविक उद्देश्य का लुप्त होना और केवल भौतिक आदान-प्रदान पर ध्यान केंद्रित 
,53,2,सांख्य योग,6,श्रेष्ठ ,विवाद ,जीतना,जानना,शत्रु ,,,2.6,053 2.6.mp4,4,माया,अर्जुन,"भ्रमित होना, परिणामों का पूर्वानुमान लगाना और दुष्ट शत्रु के साथ सहानुभूति रखना"
,54,2,सांख्य योग,7,उपाध्यक्ष,अचेत ,शरण,फंसा,कर्तव्य,शिष्य,शिक्षा ,2.7,054 2.7.mp4,5,समर्पण,अर्जुन,गुरु के प्रति समर्पण करें और मार्गदर्शन लें
,55,2,सांख्य योग,8,स्पष्ट ,साम्राज्य,आधिपत्य,संप्रभुता,दु:ख,चेतना ,,2.8,055 2.8.mp4,2,माया,अर्जुन,युद्ध के पीछे के वास्तविक उद्देश्य का लुप्त होना और केवल भौतिक आदान-प्रदान पर ध्यान केंद्रित 
,56,2,सांख्य योग,9,विजेता,नींद,विवाद ,चुपचाप,,,,2.9,056 2.9.mp4,1,माया,संजय,समर्पण और उद्देश्य को त्याग देना
,57,2,सांख्य योग,10,मुस्कुराते,सम्बोधन ,शब्द,दु:ख,सेना,,,2.10,057 2.10.mp4,1,समानुभूति,संजय,किसी गहरे संकट में फंसे व्यक्ति को सांत्वना देना और उसका मार्गदर्शन 
,58,2,सांख्य योग,11,शोक,सीखा,ढंग,दु:ख,मृत,,,2.11,058 2.11.mp4,5,बुद्धि,कृष्ण,"बुद्धिमान लोग शोक नहीं करते, वे मरे हुओं या जीवितों के लिए शोक नहीं करते।"
,59,2,सांख्य योग,12,समय,जीवन ,रोकना,पुनर्जन्म,अनंतकाल,,,2.12,059 2.12.mp4,4,पुनर्जन्म,कृष्ण,आत्मा की निरंतरता और पुनर्जन्म की अवधारणा
,60,2,सांख्य योग,13,आयु,गुण,शरीर,आत्मा,ढंग,,,2.13,060 2.13.mp4,5,आत्मा,कृष्ण,इस शरीर के माध्यम से आत्मा को भौतिक अवस्था का श्रेय दिया जाता है
,61,2,सांख्य योग,14,चेतना,वस्तुओं,भावनाएँ,क्षणसाथी,सहन ,,,2.14,061 2.14.mp4,4,चेतना,कृष्ण,"इन्द्रियों और वस्तुओं का संपर्क विपरीत भावनाओं को जन्म देता है, जो क्षणभंगुर है"
,62,2,सांख्य योग,15,ढंग,कष्ट ,आनंद,अमरता,योग्य,,,2.15,062 2.15.mp4,5,बुद्धि,कृष्ण,"बुद्धिमान व्यक्ति जो विपरीतताओं को समान रूप से लेते हैं, वे अमरता के पात्र हैं"
,63,2,सांख्य योग,16,मिथ्या ,वास्तविक ,समझना,अस्तित्व,सच,,,2.16,063 2.16.mp4,3,ज्ञान,कृष्ण,असत्य का अस्तित्व नहीं है और सत्य का अस्तित्व कभी समाप्त नहीं होता
,64,2,सांख्य योग,17,अविनाशी,व्याप्त,शक्ति,ब्रह्मांड,जानना,,,2.17,064 2.17.mp4,3,परम,कृष्ण,अविनाशी संसार में व्याप्त है और अविनाशी है
,65,2,सांख्य योग,18,अविनाशी,शाश्वत,निकाय,अपरिभाष्य,विवाद ,,,2.18,065 2.18.mp4,2,आत्मा,कृष्ण,आत्मा के विपरीत सभी जीवित शरीर नाशवान हैं
,66,2,सांख्य योग,19,अनजान,आत्मा,मारना,योग्य ,मृत ,,,2.19,066 2.19.mp4,4,आत्मा,कृष्ण,अज्ञानी वे लोग हैं जो आत्मा को हत्यारा या मारी हुई समझते हैं।
,67,2,सांख्य योग,20,अजन्मा ,शाश्वत,प्राचीन ,चिरस्थायी,मृत ,,,2.20,067 2.20.mp4,3,आत्मा,कृष्ण,"आत्मा अजन्मा, शाश्वत, चिरस्थायी और प्राचीन है"
,68,2,सांख्य योग,21,अविनाशी,शाश्वत,आत्मा,जन्म,क्षय,,,2.21,068 2.21.mp4,3,ज्ञान,कृष्ण,आत्मा को जानने वाला न तो किसी को मारता है और न ही मरवाता है
,69,2,सांख्य योग,22,वस्त्र ,अवतीर्ण,आत्मा,प्रवेश,नया,,,2.22,69 2.22.mp4,5,आत्मा,कृष्ण,आत्मा पुराने शरीर को त्यागकर नए शरीर में प्रवेश करती है
,70,2,सांख्य योग,23,शस्त्र,आग,पानी,वायु ,आत्मा,,,2.23,070 2.23.mp4,5,आत्मा,कृष्ण,"आत्मा को हथियार, आग, पानी या हवा से नुकसान नहीं पहुंचाया जा सकता"
,71,2,सांख्य योग,24,शाश्वत,अचल,स्थिर,सर्वभूत,अनन्त,,,2.24,071 2.24.mp4,5,आत्मा,कृष्ण,"आत्मा शाश्वत, सर्वव्यापी, अविनाशी, अचल, स्थिर और शाश्वत है"
,72,2,सांख्य योग,25,अव्यक्त,अडिग,शोक,सुबोध,आत्मा,,,2.25,072 2.25.mp4,5,आत्मा,कृष्ण,"आत्मा अव्यक्त, अज्ञेय और अपरिवर्तनीय है"
,73,2,सांख्य योग,26,धारणा ,निरंतर ,जन्म,मृत्यु ,शोक,,,2.26,073 2.26.mp4,2,आत्मा,कृष्ण,आत्मा निरन्तर जन्म और मृत्यु के अधीन है
,74,2,सांख्य योग,27,मृत्यु ,निश्चित,पुनर्जन्म,अनिवार्य,शोक,,,2.27,074 2.27.mp4,5,पुनर्जन्म,कृष्ण,मृत्यु निश्चित है और पुनर्जन्म अपरिहार्य है
,75,2,सांख्य योग,28,व्यक्त,जन्म,मृत्यु ,अव्यक्त,अन्तरिम,,,2.28,075 2.28.mp4,3,ज्ञान,कृष्ण,प्राणी केवल जन्म और मृत्यु के बीच के अंतराल में ही प्रकट होते हैं
,76,2,सांख्य योग,29,अद्भुत,अपर्याप्त,समझना,जानना,आत्मा,,,2.29,76 2.29.mp4,2,ज्ञान,कृष्ण,"शायद ही कोई आत्मा को समझता है, बोलता है, सुनता है और जानता है"
,77,2,सांख्य योग,30,आत्मा,आवास,शरीर,मृत ,विलाप,,,2.30,077 2.30.mp4,4,आत्मा,कृष्ण,"शरीर में आत्मा को मारा नहीं जा सकता, इसलिए उसे शोक नहीं चाहिए।"
,78,2,सांख्य योग,31,न्यायोचित ,स्वागत,डगमगाने,योद्धा,कर्तव्य,,,2.31,078 2.31.mp4,2,धर्म,कृष्ण,योद्धा वर्ग के व्यक्ति के लिए धर्मी युद्ध स्वागत योग्य है
,79,2,सांख्य योग,32,अनिच्छा ,द्वार,भाग्यशाली,अवसर,स्वर्ग,,,2.32,079 2.32.mp4,4,अवसर,कृष्ण,अपना कर्तव्य निभाने और स्वर्ग पाने का सौभाग्यशाली अवसर
,80,2,सांख्य योग,33,अस्वीकार,छुड़ाना ,कर्तव्य,प्रतिष्ठा,पाप,,,2.33,080 2.33.mp4,5,समाज,कृष्ण,"कर्तव्य से विमुख होना, प्रतिष्ठा खोना और पाप का भागी होना"
,81,2,सांख्य योग,34,लोग,कुख्यात ,लोकप्रिय,बुरा,मृत्यु,,,2.34,081 2.34.mp4,5,समाज,कृष्ण,लोकप्रिय सम्मान वाले व्यक्ति के लिए बदनामी मृत्यु से भी बदतर है
,82,2,सांख्य योग,35,योद्धा,घृणा,सोच,डर,युद्ध,,,2.35,082 2.35.mp4,4,समाज,कृष्ण,विरोधी किसी को कायर समझते हैं और उससे घृणा करते हैं
,83,2,सांख्य योग,36,शत्रु,उपेक्षा,तनाव,अनुचित,शब्द,,,2.36,083 2.36.mp4,4,समाज,कृष्ण,दूसरों के अनुचित शब्द अधिक कष्टदायक होते हैं
,84,2,सांख्य योग,37,ठानना,जीतना,आनंद,संप्रभुता,स्वर्ग,,,2.37,084 2.37.mp4,2,फ़ैसला,कृष्ण,"युद्ध से या तो स्वर्ग या प्रभुता, इसलिए लड़ने का निश्चय करो"
,85,2,सांख्य योग,38,विजय,हराना,दर्द,आनंद,पाप,,,2.38,085 2.38.mp4,5,समभाव,कृष्ण,सभी विपरीतों के साथ समान व्यवहार करें और इस प्रकार पाप न करें
,86,2,सांख्य योग,39,दृष्टि ,निस्वार्थ ,कर्म ,सम्पन्न,फेंकना,बन्धन,कर्म,2.39,086 2.39.mp4,1,कर्म,कृष्ण,कर्म की बेड़ियाँ तोड़ने का दृष्टिकोण
,87,2,सांख्य योग,40,उदासीनता,कर्म ,प्रयास ,विपरीत,डर,,,2.40,087 2.40.mp4,3,समभाव,कृष्ण,निःस्वार्थ कार्य से कोई हानि या भय नहीं
,88,2,सांख्य योग,41,पक्का,बुद्धि,इच्छाएँ,अनजान,,,,2.41,088 2.41.mp4,4,फ़ैसला,कृष्ण,"बुद्धि एक ही आदर्श के प्रति दृढ़ है, सभी दिशाओं में भटकती नहीं"
,89,2,सांख्य योग,42,इच्छाएँ,समर्पित,वेद,स्वर्ग,परम ,विवाद ,मूर्ख,2.42,089 2.42.mp4,2,इच्छाएँ,कृष्ण,मूर्ख लोग सांसारिक इच्छाओं से भरे रहते हैं और स्वर्ग को सर्वोच्च मानते हैं।
,90,2,सांख्य योग,43,सुगन्धित ,भाषण,परम्परा,अनुशंसा,शक्ति,आनंद,पुनर्जन्म,2.43,090 2.43.mp4,3,इच्छाएँ,कृष्ण,आनन्द और शक्ति के लिए अनुष्ठानों का समर्थन करते हुए फूलदार भाषण देना
,91,2,सांख्य योग,44,आनंद,शक्ति,प्राप्त,दृढ़,बुद्धि,,,2.44,091 2.44.mp4,5,ठानना,कृष्ण,सुख और शक्ति से प्रेरित मन निश्चयात्मक बुद्धि प्राप्त नहीं कर सकता
,92,2,सांख्य योग,45,उदासीन,विपरीत,वेदों,विकसित,शाश्वत,,,2.45,092 2.45.mp4,3,समभाव,कृष्ण,"विपरीत युग्मों से ऊपर उठकर, निश्चिन्त और आत्म-नियंत्रित"
,93,2,सांख्य योग,46,ब्रह्म,सूचित,वेदों,बाढ़,जलाशय,,,2.46,093 2.46.mp4,2,ज्ञान,कृष्ण,एक प्रबुद्ध ब्राह्मण के लिए वेदों का उपयोग
,94,2,सांख्य योग,47,सही,कार्य ,फल,लगाव,निष्क्रियता,,,2.47,094 2.47.mp4,5,कर्म,कृष्ण,"केवल कर्म ही उचित है, फल की ओर कभी नहीं, न ही अकर्म की ओर आसक्ति।"
,95,2,सांख्य योग,48,अभिनय,कर्तव्य,योग,त्याग,सम,लगाव,,2.48,095 2.48.mp4,5,लगाव,कृष्ण,"आसक्ति का त्याग करके, समचित्त होकर कर्तव्यों का पालन करो।"
,96,2,सांख्य योग,49,कर्म,स्वार्थी,ध्येय ,न्यूनतर ,समभाव,,,2.49,096 2.49.mp4,3,इच्छाएँ,कृष्ण,स्वार्थी उद्देश्य से किए गए कार्य बहुत ही घटिया हैं
,97,2,सांख्य योग,50,समभाव,अच्छा,बुराई,योग,कौशल,,,2.50,097 2.50.mp4,4,समभाव,कृष्ण,कार्य में कुशलता प्राप्त करने के लिए समता के अभ्यास का प्रयास करें
,98,2,सांख्य योग,51,संतुलित,ढंग,जन्म,त्याग,परमानन्द ,,,2.51,098 2.51.mp4,4,समभाव,कृष्ण,समभावित मुक्त पुरुष आनंदमय परम अवस्था को प्राप्त करते हैं
,99,2,सांख्य योग,52,माया,कीचड़,आनंद,उदासीन,संसार ,,,2.52,099 2.52.mp4,3,समभाव,कृष्ण,मोह के दलदल को पार करो और उदासीन बनो
,100,2,सांख्य योग,53,बुद्धि,अस्पष्ट,टकराव,अविचलित,मिलन,अनन्त ,,2.53,100 2.53.mp4,3,परम,कृष्ण,अनन्त मिलन के लिए परमेश्वर में स्थिर और अविचलित रहें
,101,2,सांख्य योग,54,समझना,स्थिर,शांति,विशेषताएँ,आत्मा,बोलना,टहलना,2.54,101 2.54.mp4,2,योग,अर्जुन,ईश्वर-प्राप्त आत्मा और समाधि में स्थित स्थिर मन के लक्षण
,102,2,सांख्य योग,55,ढालना,लालसा,संतुष्ट,स्थिर,आनंद,स्वयं ,,2.55,102 2.55.mp4,4,योग,कृष्ण,स्वयं के आनन्द के माध्यम से स्वयं में संतुष्ट
,103,2,सांख्य योग,56,निश्चिन्त ,दु:ख,प्यास,सुख,मुक्त,स्थिर,,2.56,103 2.56.mp4,5,योग,कृष्ण,स्थिर मन वाला ऋषि अविचलित और वासनाओं तथा तृष्णा से मुक्त होता है
,104,2,सांख्य योग,57,जुड़ा,अच्छा,बुराई,प्रसन्न ,पीछे हटना,स्थिर,,2.57,104 2.57.mp4,3,समभाव,कृष्ण,"किसी भी चीज़ से आसक्त नहीं, न प्रसन्न होता है, न पीछे हटता है"
,105,2,सांख्य योग,58,कछुआ,अंग,इन्द्रियाँ ,वस्तु,स्थिर,,,2.58,105 2.58.mp4,5,योग,कृष्ण,कछुए की तरह इन्द्रियों को इन्द्रिय-विषयों से हटा लेता है
,106,2,सांख्य योग,59,विवेक ,वस्तु,आनंद,स्वाद,अदृश्य ,,,2.59,106 2.59.mp4,4,इच्छाएँ,कृष्ण,"इन्द्रिय विषय दूर हो जाते हैं, परन्तु स्वाद बना रहता है"
,107,2,सांख्य योग,60,उपद्रवी,प्रकृति,इन्द्रियाँ ,ढंग,नियंत्रण,बलपूर्वक,,2.60,107 2.60.mp4,5,इच्छाएँ,कृष्ण,अशांत इन्द्रियाँ बुद्धिमान व्यक्ति के मन को बलपूर्वक हर लेती हैं
,108,2,सांख्य योग,61,नियंत्रण,इन्द्रियाँ ,मस्तिष्क ,ध्यान,समर्पित,स्थिर,,2.61,108 2.61.mp4,5,योग,कृष्ण,"इन्द्रियों को वश में करके और मन को एकाग्र करके, श्री कृष्ण का ध्यान और भक्ति करो"
,109,2,सांख्य योग,62,लगाव,चेतना,वस्तुओं,इच्छा,क्रोध ,,,2.62,109 2.62.mp4,5,इच्छाएँ,कृष्ण,"इन्द्रिय विषय, इच्छाओं, असंतोष और क्रोध के प्रति आसक्ति विकसित करते हैं"
,110,2,सांख्य योग,63,आसक्ति,क्रोध ,याद,भ्रम,कारण,नाश ,,2.63,110 2.63.mp4,5,बुद्धि,कृष्ण,"क्रोध से मोह, भ्रम, विवेक की हानि और पूर्ण विनाश"
,111,2,सांख्य योग,64,नियंत्रण,आनंद,वस्तु,अनुशासित,मुक्त,सौम्यता,,2.64,111 2.64.mp4,3,अनुशासन,कृष्ण,शांति प्राप्त करने के लिए अनुशासन और मुक्त मन से आनन्द लेना
,112,2,सांख्य योग,65,सौम्यता,दु:ख,बुद्धि,शांत,मस्तिष्क ,अटल,,2.65,112 2.65.mp4,5,शांति,कृष्ण,"शांत मन में दुःख समाप्त हो जाते हैं, सभी ओर से हट जाते हैं"
,113,2,सांख्य योग,66,नियंत्रण,इन्द्रियाँ ,मस्तिष्क ,बुद्धि,शांति,प्रसन्नता ,,2.66,113 2.66.mp4,4,बुद्धि,कृष्ण,"मन और इन्द्रियों पर न नियंत्रण, न दृढ़ संकल्प, न शांति, न सुख"
